string,string,string,string,string,string,string
id,author_id,title,content,yunlv_rule,author,dynasty
244288,9403,偈頌一百三十三首  其一三二,尋常顛說倒說，何曾開口動舌。|不妨雪上加霜，更與諸人一決。,平平平仄仄仄，平平平仄仄仄。|仄○仄仄平平，○仄平平仄仄。,釋法薰,S
244289,9403,偈頌六十八首  其一,無門之門，七通八達。|入之一字，也不消得。,平平平平，仄平仄仄。|仄平仄仄，仄仄平仄。,釋法薰,S
244290,9403,偈頌六十八首  其二,有路可行，更高也上。|須彌燈王，退身合掌。,仄仄仄○，○平仄仄。|平平平○，仄平仄仄。,釋法薰,S
244291,9403,偈頌六十八首  其三,十八十九，癡人夜走。|十九二十，人信不及。|信得及，觀音院裏有彌勒。,仄仄仄仄，平平仄仄。|仄仄仄仄，平仄仄仄。|仄仄仄，○平仄仄仄平仄。,釋法薰,S
244292,9403,偈頌六十八首  其四,臘月燒山，火勢炎炎。|目前包裹，借手行拳。|若是衲衣下事，猶較十萬八千。|御樓看射獵，不是刈茆田。,仄仄○平，仄仄平平。|仄平平仄，仄仄○平。|仄仄仄○仄仄，○仄仄仄仄平。|仄平○仄仄，仄仄仄仄平。,釋法薰,S
244293,9403,偈頌六十八首  其五,大雪滿長安，春來特地寒。|新年頭佛法，一點不相瞞。,仄仄仄平平，平平仄仄平。|平平平仄仄，仄仄仄平平。,釋法薰,S
244294,9403,偈頌六十八首  其六,折脚鐺子，大家知有。|左提右挈，勞煩衆手。|山僧贏得百無憂，一向面南看北斗。,○仄平仄，仄平平仄。|仄平仄仄，○平仄仄。|平平平仄仄平平，仄仄仄平○仄仄。,釋法薰,S
244295,9403,偈頌六十八首  其七,乾峰錦包特石，雲門鐵裹泥團。|築著磕著，言端語端。|不是任公子，徒勞話釣竿。,平平仄平仄仄，平平仄仄○平。|仄仄仄仄，平平仄平。|仄仄平平仄，平○仄仄平。,釋法薰,S
244296,9403,偈頌六十八首  其八,不問有言，不問無言。|靈山拄杖，斜靠壁邊。|風光都占盡，不費一文錢。,仄仄仄平，仄仄平平。|平平仄仄，平仄仄平。|平平平○仄，仄仄仄平○。,釋法薰,S
244297,9403,偈頌六十八首  其九,古人一指頭禪，一生受用不盡。|得恁麽明白，得恁麽簡徑。|靈山這裏不較多，三尺杖子攪黄河。,仄平仄仄平○，仄平仄仄仄仄。|仄仄○平仄，仄仄○仄仄。|平平？仄仄仄平，○仄仄仄仄平平。,釋法薰,S
244298,9403,偈頌六十八首  其一○,日遷月化，又見中夏。|衲僧那事，如何問著，人人口啞。|有誵訛，不借借。|六月賣松風，人間恐無價。,仄平仄仄，仄仄○仄。|仄平仄仄，○平仄仄，平平仄仄。|仄平平，仄仄仄。|仄仄仄平平，平○仄平仄。,釋法薰,S
244299,9403,偈頌六十八首  其一一,祖師門下，討甚巴鼻，滿耳春風浩浩地。|草木叢林，燈籠露柱，心空及第。|汝等諸人，因甚却來這裏瞌睡。,仄平平仄，仄仄平仄，仄仄平平仄仄仄。|仄仄平平，平○仄仄，平○仄仄。|仄仄平平，平仄仄平？仄？仄。,釋法薰,S
244300,9403,偈頌六十八首  其一二,巴陵三轉語，鈍置老僧門。|靈山無半句，報盡破菴恩。,平平○仄仄，仄仄仄平平。|平平平仄仄，仄仄仄平平。,釋法薰,S
244301,9403,偈頌六十八首  其一三,秘魔老兒，擎箇叉子，不肯放下。|靈山這裏，凈躶躶，赤灑灑，沒可把。,仄平仄平，平仄平仄，仄仄仄仄。|平平？仄，仄仄仄，仄仄仄，仄仄仄。,釋法薰,S
244302,9403,偈頌六十八首  其一四,不是琅琊，洎被這僧惑亂。|若非這僧，琅琊令不虛行。|末後棒頭賣峭，更向露柱藏身，笑殺毗耶杜口人。,仄仄平平，仄仄？平仄仄。|仄平？平，平平仄仄平○。|仄仄仄平仄仄，○仄仄仄○平，仄仄平平仄仄平。,釋法薰,S
244303,9403,偈頌六十八首  其一五,水流濕，火就燥。|臨安紙貴，一狀領過。,仄平仄，仄仄仄。|○平仄仄，仄仄仄○。,釋法薰,S
244304,9403,偈頌六十八首  其一六,節令不相饒，陽生第一爻。|諸佛道長，衆生道消。|拄杖子，獨孤標。,仄仄仄○平，平平仄仄平。|平仄仄○，仄平仄平。|仄仄仄，仄平○。,釋法薰,S
244305,9403,偈頌六十八首  其一七,世尊拈花，迦葉微笑。|正法眼藏，永永流通。|古佛今佛，心同道同。|風從虎，雲從龍。|節啟天基伸祝頌，壽齊南北兩高峰。,仄平平平，平仄平仄。|○仄仄○，仄仄平平。|仄仄平仄，平平仄平。|平○仄，平○平。|仄仄平平平仄仄，仄平平仄仄平平。,釋法薰,S
244306,9403,偈頌六十八首  其一八,我若坐時汝須立，同坐同立成瞎漢。|非瞎漢，把手大家行那畔。,仄仄仄平仄平仄，平仄平仄平仄仄。|平仄仄，仄仄仄平○仄仄。,釋法薰,S
244307,9403,偈頌六十八首  其一九,海上明公秀，趙州東院西。|不移毫髮許，平步上雲梯。,仄仄平平仄，仄平平仄平。|仄平平仄仄，平仄仄平平。,釋法薰,S
